,widget_type,data.@type,data.image_url,data.image_count,data.title,data.has_chat,data.top_description_text,data.middle_description_text,data.bottom_description_text,data.red_text,data.action.type,data.action.payload.@type,data.action.payload.token,data.action.payload.web_info.title,data.action.payload.web_info.district_persian,data.action.payload.web_info.city_persian,data.action.payload.web_info.category_slug_persian,data.action.payload.vertical_info.@type,data.action.payload.vertical_info.vertical_type,data.action.fallback_link,data.action.page_pop_link,data.checkable,data.label,data.label_color,data.note,data.tags,data.standard_label_color,data.is_checked,data.has_divider,data.padded,data.token,action_log.server_side_info.info.@type,action_log.server_side_info.info.post_token,action_log.server_side_info.info.index,action_log.server_side_info.info.post_type,action_log.server_side_info.info.list_type,action_log.server_side_info.info.source_page,action_log.server_side_info.info.extra_data.@type,action_log.server_side_info.info.extra_data.jli.category.value,action_log.server_side_info.info.extra_data.jli.districts.vacancies,action_log.server_side_info.info.extra_data.jli.cities,action_log.server_side_info.info.extra_data.last_post_sort_date,action_log.server_side_info.info.extra_data.no_cat_page,action_log.server_side_info.item_type.type,action_log.enabled,data.image_top_left_tag.icon.image_url_dark,data.image_top_left_tag.icon.image_url_light,data.image_top_left_tag.icon.icon_name,data.image_top_left_tag.icon.icon_color,data.image_top_left_tag.text,data.image_top_left_tag.is_icon_left
0,POST_ROW,type.googleapis.com/widgets.PostRowData,,0,آپارتمان امید دژبان(آبشار) ۱۳۲متر,True,,"۴,۸۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYu-ctGp,آپارتمان امید دژبان(آبشار) ۱۳۲متر,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYu-ctGp,type.googleapis.com/action_log.PostItemInfo,wYu-ctGp,0,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,,,,,,
1,POST_ROW,type.googleapis.com/widgets.PostRowData,"[{'src': 'https://s100.divarcdn.com/static/thumbnails/1672413098/wYLqQbhO.webp', 'type': 'image/webp'}, {'src': 'https://s100.divarcdn.com/static/thumbnails/1672413098/wYLqQbhO.jpg', 'type': 'image/jpeg'}]",9,آپارتمان٣خوابه قابل تهاتر باچهارخواب فول,True,,"۶,۵۰۰,۰۰۰,۰۰۰ تومان",۹ ساعت پیش در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYLqQbhO,آپارتمان٣خوابه قابل تهاتر باچهارخواب فول,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYLqQbhO,type.googleapis.com/action_log.PostItemInfo,wYLqQbhO,1,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,https://s100.divarcdn.com/static/imgs/widget-icons/dark/white_primary/camera.png,https://s100.divarcdn.com/static/imgs/widget-icons/light/white_primary/camera.png,CAMERA,WHITE_PRIMARY,۹,True
2,POST_ROW,type.googleapis.com/widgets.PostRowData,"[{'src': 'https://s100.divarcdn.com/static/thumbnails/1672417948/wYumcyha.webp', 'type': 'image/webp'}, {'src': 'https://s100.divarcdn.com/static/thumbnails/1672417948/wYumcyha.jpg', 'type': 'image/jpeg'}]",6,63 متری آبشار، دو خوابه,True,,"۲,۱۰۰,۰۰۰,۰۰۰ تومان",۹ ساعت پیش در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYumcyha,63 متری آبشار، دو خوابه,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYumcyha,type.googleapis.com/action_log.PostItemInfo,wYumcyha,2,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,https://s100.divarcdn.com/static/imgs/widget-icons/dark/white_primary/camera.png,https://s100.divarcdn.com/static/imgs/widget-icons/light/white_primary/camera.png,CAMERA,WHITE_PRIMARY,۶,True
3,POST_ROW,type.googleapis.com/widgets.PostRowData,"[{'src': 'https://s100.divarcdn.com/static/thumbnails/1672408883/wYXqxEiQ.webp', 'type': 'image/webp'}, {'src': 'https://s100.divarcdn.com/static/thumbnails/1672408883/wYXqxEiQ.jpg', 'type': 'image/jpeg'}]",4,۱۰۱متر /فول امکانات/دریاچه چیتگر+وام,False,,"۱,۳۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYXqxEiQ,۱۰۱متر /فول امکانات/دریاچه چیتگر+وام,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYXqxEiQ,type.googleapis.com/action_log.PostItemInfo,wYXqxEiQ,3,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,https://s100.divarcdn.com/static/imgs/widget-icons/dark/white_primary/camera.png,https://s100.divarcdn.com/static/imgs/widget-icons/light/white_primary/camera.png,CAMERA,WHITE_PRIMARY,۴,True
4,POST_ROW,type.googleapis.com/widgets.PostRowData,"[{'src': 'https://s100.divarcdn.com/static/thumbnails/1672408176/gY46pcXg.webp', 'type': 'image/webp'}, {'src': 'https://s100.divarcdn.com/static/thumbnails/1672408176/gY46pcXg.jpg', 'type': 'image/jpeg'}]",7,۸۷متر ۲خواب تکواحدی پارکینگ انباری ابشار دردار,True,,"۲,۸۰۰,۰۰۰,۰۰۰ تومان",در آبشار,فوری ,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,gY46pcXg,۸۷متر ۲خواب تکواحدی پارکینگ انباری ابشار دردار,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,gY46pcXg,type.googleapis.com/action_log.PostItemInfo,gY46pcXg,4,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,https://s100.divarcdn.com/static/imgs/widget-icons/dark/white_primary/camera.png,https://s100.divarcdn.com/static/imgs/widget-icons/light/white_primary/camera.png,CAMERA,WHITE_PRIMARY,۷,True
5,POST_ROW,type.googleapis.com/widgets.PostRowData,,0,خانه اپارتمانیدر پرند کوزو,True,,"۱,۲۵۰,۰۰۰,۰۰۰ تومان",۱۲ ساعت پیش در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYuiJds4,خانه اپارتمانیدر پرند کوزو,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYuiJds4,type.googleapis.com/action_log.PostItemInfo,wYuiJds4,5,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,,,,,,
6,POST_ROW,type.googleapis.com/widgets.PostRowData,,0,۸۷متر خیابان ابشار۱۱برج‌ پردیس,True,,"۱,۵۵۰,۰۰۰,۰۰۰ تومان",دیروز در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYVmuQdf,۸۷متر خیابان ابشار۱۱برج‌ پردیس,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYVmuQdf,type.googleapis.com/action_log.PostItemInfo,wYVmuQdf,6,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,,,,,,
7,POST_ROW,type.googleapis.com/widgets.PostRowData,,0,خیابان گوته پلاک ۸۱همکف مسکونی .,True,,"۲,۳۰۰,۰۰۰,۰۰۰ تومان",دیروز در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYtu7YTp,خیابان گوته پلاک ۸۱همکف مسکونی .,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYtu7YTp,type.googleapis.com/action_log.PostItemInfo,wYtu7YTp,7,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,,,,,,
8,POST_ROW,type.googleapis.com/widgets.PostRowData,,0,۶۸متری فروش شهرک  سپاه,False,,"۳,۱۵۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYMCnK6g,۶۸متری فروش شهرک  سپاه,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYMCnK6g,type.googleapis.com/action_log.PostItemInfo,wYMCnK6g,8,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,,,,,,
9,POST_ROW,type.googleapis.com/widgets.PostRowData,"[{'src': 'https://s100.divarcdn.com/static/thumbnails/1672329704/wYt-XiXy.webp', 'type': 'image/webp'}, {'src': 'https://s100.divarcdn.com/static/thumbnails/1672329704/wYt-XiXy.jpg', 'type': 'image/jpeg'}]",3,آپارتمان ۴۸ متری ۱ خواب' آبشار,True,,"۱,۲۷۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آبشار,,VIEW_POST,type.googleapis.com/widgets.ViewPostPayload,wYt-XiXy,آپارتمان ۴۸ متری ۱ خواب' آبشار,آبشار,تهران,آپارتمان,type.googleapis.com/base.VerticalInfo,2,,False,False,,,,[],UNKNOWN,False,True,False,wYt-XiXy,type.googleapis.com/action_log.PostItemInfo,wYt-XiXy,9,SEARCH,PAGE,POST_LIST_PAGE,type.googleapis.com/action_log.PostItemInfo.SearchExtraData,apartment-sell,['992'],['1'],1672140914847939,False,POST_ITEM,True,https://s100.divarcdn.com/static/imgs/widget-icons/dark/white_primary/camera.png,https://s100.divarcdn.com/static/imgs/widget-icons/light/white_primary/camera.png,CAMERA,WHITE_PRIMARY,۳,True
