,data.middle_description_text,data.bottom_description_text
0,"۴,۸۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
1,"۶,۵۰۰,۰۰۰,۰۰۰ تومان",۹ ساعت پیش در آبشار
2,"۲,۱۰۰,۰۰۰,۰۰۰ تومان",۹ ساعت پیش در آبشار
3,"۱,۳۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
4,"۲,۸۰۰,۰۰۰,۰۰۰ تومان",در آبشار
5,"۱,۲۵۰,۰۰۰,۰۰۰ تومان",۱۳ ساعت پیش در آبشار
6,"۱,۵۵۰,۰۰۰,۰۰۰ تومان",دیروز در آبشار
7,"۲,۳۰۰,۰۰۰,۰۰۰ تومان",دیروز در آبشار
8,"۳,۱۵۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
9,"۱,۲۷۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آبشار
10,"۱,۲۸۲,۵۰۰,۰۰۰ تومان",آژانس املاک در آبشار
11,"۲,۲۵۰,۰۰۰,۰۰۰ تومان",دیروز در آبشار
12,"۴,۵۱۴,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
13,"۱,۲۵۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
14,"۱,۵۳۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آبشار
15,"۲,۵۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
16,"۲,۷۵۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
17,"۵,۵۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آبشار
18,"۱,۴۷۰,۰۰۰,۰۰۰ تومان",پریروز در آبشار
19,"۱,۳۵۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آبشار
20,"۲,۱۸۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آبشار
21,"۱,۶۹۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آبشار
22,"۶,۸۵۰,۰۰۰,۰۰۰ تومان",۳ روز پیش در آبشار
23,"۱,۸۵۰,۰۰۰,۰۰۰ تومان",۳ روز پیش در آبشار
