answers,link,questions
1|| Theodore Roosevelt (Medal of Honor posthumously).||2|| Bitcoin value.||3|| Aldous Huxley.||4|| Ackee.||5|| Las Meninas by Velázquez.||6|| (Mount) Snowdon.||7|| Laphroaig.||8|| Bobby Fischer and Boris Spassky.||9|| Animals beginning with X: xerus; xolo; x-ray tetra; xeme.||10|| Monarchs who succeeded their brother.||11|| Autobiographical/semi-autobiographical films about directors’ youth: François Truffaut; Federico Fellini; Woody Allen; Joanna Hogg; Steven Spielberg.||12|| Wins in the rugby league world cup (men’s).||13|| Centres of UK car manufacturing.||14|| Items left on the moon.||15|| My Name Is … novels: Orhan Pamuk; Kit de Waal; David Almond; Elizabeth Strout.,https://www.theguardian.com/lifeandstyle/2022/dec/10/which-fellow-dystopian-taught-george-orwell-at-eton-the-saturday-quiz,"1|| Which US president won the Nobel peace prize and the Medal of Honor?||2|| What peaked at $68,789 in November 2021?||3|| Which fellow dystopian taught George Orwell at Eton?||4|| What is the national fruit of Jamaica?||5|| Five-year-old Margaret Theresa is the main figure in which group portrait?||6|| What is now officially Yr Wyddfa?||7|| Which Islay whisky advertised its taste as “burning hospital”?||8|| Who contested the 1972 World Chess Championship?||What links||9|| African ground squirrel; Mexican hairless dog; translucent fish; Sabine’s gull?||10|| Henry I; John; James II; William IV; George VI?||11|| The 400 Blows; Amarcord; Radio Days; The Souvenir; The Fabelmans?||12|| Australia (12); Great Britain (3); New Zealand (1)?||13|| Longbridge; Cowley; Dagenham; Halewood; Luton?||14|| Photo; flags; feather; hammer; golf balls; human waste?||15|| Red; Leon; Mina; Lucy Barton?"
1|| Maya Angelou.||2|| Isle of Man.||3|| Mary Rose.||4|| Paraguay.||5|| Cross-country skiing and ski jumping.||6|| Beethoven’s Symphony No 6 (Pastoral).||7|| 7.||8|| Robinson Crusoe.||9|| Five rivers that give Punjab its name (Indus tributaries).||10|| Movements in dressage.||11|| Four fundamental forces.||12|| New-year celebrations: Thai; Vietnamese; Iranian; Jewish.||13|| Cities named after British prime ministers: Wellington; Melbourne; Pitt the Elder.||14|| Musicians who served in the military.||15|| Played by performers with months for first names: January Jones (Mad Men); April Hernandez (Dexter); May Calamawy (Moon Knight); June Brown (EastEnders).,https://www.theguardian.com/lifeandstyle/2022/sep/10/which-was-the-ill-fated-sister-ship-of-the-peter-pomegranate-the-saturday-quiz,"1|| Which writer from Stamps, Arkansas, appeared on a US stamp in 2015?||2|| Mec Vannin campaigns for which island’s independence?||3|| Which was the ill-fated sister ship of the Peter Pomegranate?||4|| Alfredo Stroessner ruled which country for almost 35 years?||5|| Which two sports feature in Nordic combined?||6|| What ends with “thankful feelings after the storm”?||7|| What is the pH value of pure water?||8|| Which character was born in York with the surname Kreutznaer?||What links:||9|| Beas; Chenab; Jhelum; Ravi; Sutlej?||10|| Piaffe; passage; pirouette; half-pass?||11|| Weak; strong; gravitational; electromagnetic?||12|| Songkran; Tet Nguyen Dan; Nowruz; Rosh Hashanah?||13|| New Zealand’s capital; Victoria’s capital; Pennsylvania’s second city?||14|| Elvis Presley; Tony Bennett; Jimi Hendrix; Ice-T; Shaggy; James Blunt?||15|| Betty Draper; Cira Manzon; Layla El-Faouly/Scarlet Scarab; Dot Cotton?"
1|| Spencer Perceval (1812).||2|| Rattlesnake.||3|| Nicki Minaj.||4|| World Series of Poker.||5|| Cleopatra’s Needle.||6|| Electric piano.||7|| Disneyland Paris.||8|| Cuba.||9|| Original presenters of Blue Peter: Leila Williams and Christopher Trace.||10|| New members joining the Commonwealth.||11|| Types of collar.||12|| Rachael Blackmore’s major winning rides: Champion Hurdle; Grand National; Cheltenham Gold Cup.||13|| Classes of current Royal Navy submarines.||14|| Played the Sheriff of Nottingham on film.||15|| The artist’s mother: Rembrandt; James McNeill Whistler; Andy Warhol; Lucian Freud.,https://www.theguardian.com/lifeandstyle/2022/aug/06/what-do-miss-great-britain-1957-and-ben-hur-have-in-common-the-saturday-quiz,1|| Which PM’s last words were “I have been murdered”?||2|| The eastern diamondback is the largest of what type of reptile?||3|| Which rapper is known as Barbie on Instagram?||4|| At what event do winners receive a WSOP bracelet?||5|| Which London monument dates from around 1450BC?||6|| What instrument is a Fender Rhodes?||7|| Where did the Avengers Campus open in July?||8|| Which country has been subject to US sanctions for more than 60 years?||What links:||9|| Miss Great Britain 1957 and Charlton Heston’s Ben-Hur body double?||10|| Cameroon (1995); Rwanda (2009); Gabon and Togo (2022)?||11|| Peter Pan; johnny; bertha; mandarin; wing?||12|| Honeysuckle; Minella Times; A Plus Tard?||13|| Astute; Trafalgar; Vanguard?||14|| Melville Cooper; Robert Shaw; Alan Rickman; Matthew Macfadyen?||15|| Neeltgen Willensdr; Anna McNeill Whistler; Julia Warhola; Lucie Freud?
"1|| Yuri Gagarin.||2|| Viking/Scandinavian: nobles; tradesmen; slaves.||3|| Child performer (in the US, under California Child Actor’s Bill).||4|| Lynx (Eurasian).||5|| Brazil.||6|| James Patterson.||7|| Pelota (jai alai).||8|| First Butlin’s holiday camp.||9|| Played genie: The Thief of Bagdad; Aladdin (1992); Aladdin (2019); Three Thousand Years of Longing.||10|| Pokémon (by National Pokédex number).||11|| Individual awards in major league baseball.||12|| Parts of the colon.||13|| African mountain ranges.||14|| Musical acts missing a punctuation mark.||15|| Types of lightning.",https://www.theguardian.com/lifeandstyle/2022/sep/24/who-inspired-the-daily-worker-headline-a-communist-in-space-the-saturday-quiz,"1|| Who inspired the Daily Worker headline “A Communist in Space”?||2|| Which society was divided into jarls, karls and thralls?||3|| Whose earnings would be paid into a Coogan account?||4|| What is Europe’s largest wild cat?||5|| Tropicália was a 1960s artistic movement in which country?||6|| Who has co-written thrillers with Bill Clinton and Dolly Parton?||7|| What Basque game is the fastest-moving ball sport?||8|| What was officially opened by pilot Amy Johnson in Skegness in 1936?||What links:||9|| Rex Ingram; Robin Williams; Will Smith; Idris Elba?||10|| Bulbasaur (1); Pikachu (25); Vulpix (37); Golem (76)?||11|| Cy Young; Hank Aaron; Gold Glove; Silver Slugger?||12|| Ascending; transverse; descending; sigmoid?||13|| Simien; Rwenzori; Atlas; Drakensberg?||14|| Pink; Anderson Paak; HearSay; Godspeed You Black Emperor?||15|| Sprites; blue jets; elves; anvil crawlers; bead; ribbon?"
"1|| Martina Navratilova.||2|| Smoke detector.||3|| Seven deadly sins.||4|| Martin Van Buren.||5|| Climate fiction.||6|| Sea otters.||7|| Evolution.||8|| Ice-cream vans.||9|| Single-copy musical recordings.||10|| Funded (at least in part) by lotteries.||11|| Diacritical marks.||12|| Thought experiments in philosophy.||13|| Large crab species.||14|| Midnight novels: Good Morning, Midnight; Tom’s Midnight Garden; Midnight’s Children; The Midnight Library.||15|| Won Oscars for playing the same part: Vito Corleone; Joker; Anita in West Side Story.",https://www.theguardian.com/lifeandstyle/2022/sep/17/what-links-jean-rhys-to-salman-rushdie-the-saturday-quiz,1|| Whose only tennis singles defeat in 1983 was to Kathy Horvath?||2|| Radioactive element americium is used in which household device?||3|| Which list of vices was enumerated by Pope Gregory I?||4|| Which US president grew up speaking Dutch?||5|| What new literary genre is cli-fi?||6|| Which animals rest on their backs in floating “rafts”?||7|| Lamarckism is a discredited theory of what?||8|| Which chimes can sound for no more than 12 seconds at a time?||What links:||9|| Wu-Tang Clan’s Once Upon a Time in Shaolin; Bob Dylan’s Blowin’ in the Wind (2022)?||10|| Harvard University; British Museum; Millennium Dome?||11|| Grave; macron; ogonek; tilde?||12|| Mary’s room; veil of ignorance; trolley problem; brain in a vat?||13|| Japanese spider; coconut; red king; Tasmanian giant?||14|| Jean Rhys; Philippa Pearce; Salman Rushdie; Matt Haig?||15|| Marlon Brando & Robert De Niro; Heath Ledger & Joaquin Phoenix; Rita Moreno & Ariana DeBose?
1|| Cambodia (Angkor Wat).||2|| Darts players.||3|| Medici (duke of Tuscany).||4|| Birmingham (Greater Birmingham Act 1911).||5|| Monosodium glutamate.||6|| KLF.||7|| Earth.||8|| Samoyed.,https://www.theguardian.com/lifeandstyle/2022/jul/30/what-links-lawnmowers-pencils-and-baked-beans-the-saturday-quiz,1|| The world’s largest religious monument appears on which national flag?||2|| Which competitors step up to the oche?||3|| Gian Gastone (d 1737) was the last ruler from which family?||4|| Which city almost tripled in size with a 1911 Act of Parliament?||5|| Japanese chemist Kikunae Ikeda invented which food additive?||6|| Which band buried their Brit award at Stonehenge?||7|| What is the densest planet in the solar system?||8|| Which dog has a Russian name meaning “cannibal”?||What links:||9|| Lawnmowers (Southport); pencils (Keswick); baked beans (Port Talbot)?||10|| X in 1932; XXIII in 1984; XXXIV in 2028?||11|| Encanto; Romancing the Stone; Clear and Present Danger; Narcos?||12|| The Year of the End; The Kingdom by the Sea; Far North; The Call of the Weird?||13|| Sydney Opera House; Egg chair; Caravaggio lamp; Margrethe bowl?||14|| ||Vanilla planifolia; Theobroma cacao; Fragaria ananassa||?||15|| Ethel Barrymore; Vivian Beaumont; Helen Hayes; Lynn Fontanne?
1|| Barbara Castle. ||2|| US. ||3|| Boundary between Earth’s atmosphere and outer space. ||4|| Isle of Wight. ||5|| A little learning is a dangerous thing (Alexander Pope poem). ||6|| The Sealed Knot. ||7|| Martha Graham. ||8|| Tanks. ||9|| On covers of Oasis albums: Definitely Maybe; (What’s the Story) Morning Glory?; Be Here Now. ||10|| Web browsers: Firefox (nickname); Opera; Chrome; Safari. ||11|| Indian states (all created in 2000). ||12|| Film editing systems. ||13|| Battles in 1815. ||14|| Hamster species. ||15|| Died in the bath (allegedly).,https://www.theguardian.com/lifeandstyle/2022/aug/27/what-links-jim-morrison-and-agamemnon-the-saturday-quiz,"1|| Which woman was made first secretary of state in 1968?||2|| Which country is the world’s biggest oil producer? ||3|| What does the Kármán line define? ||4|| Vectis was a Roman name for which island? ||5|| What line precedes “Drink deep, or taste not the Pierian spring”? ||6|| Which re-enactment society is named after supporters of Charles II? ||7|| Who choreographed Copland’s Appalachian Spring? ||8|| What are Czech hedgehogs designed to stop? ||What links:|| ||9|| Burt Bacharach; Berwick Street, Soho; Rolls-Royce in a swimming pool? ||10|| Red panda; musical drama; alloy of Cr; wildlife-based holiday? ||11|| Uttarakhand; Jharkhand; Chhattisgarh? ||12|| Moviola; KEM flatbed; Avid; Final Cut Pro? ||13|| New Orleans; Ligny; Quatre Bras; Waterloo? ||14|| Syrian or golden; Chinese; Campbell’s dwarf; Roborovski dwarf? ||15|| Minos; Agamemnon; Jean-Paul Marat; Jim Morrison?"
"1|| Mount Rushmore (left to right: Washington, Jefferson, Teddy Roosevelt, Lincoln).||2|| Mexico.||3|| The Archers (retired in 2022, aged 103).||4|| First Lord of the Treasury.||5|| John Dee.||6|| Gibraltar.||7|| International Committee of the Red Cross.||8|| The Ramones (after Paul Ramone).||9|| Female wrestlers.||10|| Minotaur: mother; designed Cretan labyrinth; slain by.||11|| Major islands of the Cape Verde archipelago.||12|| Types of bee.||13|| Died on their birthday.||14|| Submerged (or partly submerged) towns and cities.||15|| Pronoun titles: They novella; We novel; She novel; Them.",https://www.theguardian.com/lifeandstyle/2022/sep/03/what-links-ingrid-bergman-shakespeare-and-james-lovelock-the-saturday-quiz,"1|| Where are 1, 3, 26 and 16 memorialised together?||2|| Which national flag features a cactus, an eagle and a snake?||3|| June Spencer was the last original cast member in which drama?||4|| What is written on the letterbox of 10 Downing Street?||5|| Which mathematician and occultist coined the term “British empire”?||6|| Where is Europe’s only population of wild monkeys?||7|| Which organisation has won the Nobel peace prize three times?||8|| Which punk band were named after a Paul McCartney alias?||What links:||9|| Judy Grable; Fabulous Moolah; Klondyke Kate; Trish Stratus?||10|| Pasiphaë; Daedalus; Theseus?||11|| Santiago; Santo Antão; Boa Vista; Fogo; São Nicolau?||12|| Carpenter; cellophane; digger; mason; honey?||13|| Shakespeare (possibly); Ingrid Bergman; James Lovelock (in July)?||14|| Dunwich, Suffolk; Baiae, Italy; Pavlopetri, Greece; Port Royal, Jamaica?||15|| Kay Dick dystopia; Zamyatin dystopia; Rider Haggard adventure; Van Morrison group?"
1|| Black Death.||2|| Wikipedia.||3|| Penelope Lively.||4|| Gettysburg.||5|| Jamaica (Montego Bay).||6|| Statler and Waldorf.||7|| His father’s ghost.||8|| Greyhound racing.||9|| Types of shark.||10|| Gold discovered.||11|| Basic shapes of bacteria.||12|| First century scorers for newest Test cricket nations.||13|| Greek equivalent to Roman gods/planets: Mercury; Venus; Mars; Jupiter; Saturn; Neptune.||14|| Green nicknames: sea green incorruptible (Carlyle); Green Goddess TV fitness expert; green eyed monster; green fairy.||15|| Food that are banned in the USA.,https://www.theguardian.com/lifeandstyle/2022/aug/20/which-muppets-were-named-after-new-york-hotels-the-saturday-quiz,"1|| What is thought to have originated in marmots from Kyrgyzstan?||2|| Which logo features an incomplete jigsaw globe?||3|| Who is the only writer to win both the Booker Prize and Carnegie Medal?||4|| The High Water Mark of the Rebellion Monument is on which battlefield?||5|| Where did the Reggae Sunsplash festival debut in 1978?||6|| Which muppets were named after New York hotels?||7|| Hamlet says “Alas, poor…” about Yorick and what else?||8|| Crayford and Romford are London’s last venues for which sport||What links:||9|| Cookiecutter; goblin; megamouth; thresher; wobbegong?||10|| California, 1848; Victoria, 1851; Witwatersrand, 1886; Yukon, 1896?||11|| Comma; corkscrew; rod; spherical; spiral?||12|| Aminul Islam, Bangladesh; Kevin O’Brien, Ireland; Rahmat Shah, Afghanistan?||13|| Hermes, 1; Aphrodite 2; Ares 4; Zeus, 5; Cronus 6; Poseidon 8?||14|| Maximilien Robespierre; Dian Moran; jealousy; absinthe?||15|| Kinder Surprise; haggis; fresh ackee?"
"1|| Sanremo music festival.||2|| Elif Batuman: The Possessed and The Idiot; Either/Or.||3|| Oceania.||4|| William Gladstone (Grand Old Man to Murderer of Gordon).||5|| They grow in salty conditions.||6|| Heliocentric model of known universe.||7|| Mekong (largest freshwater fish ever found).||8|| Zulu and Ashanti.||9|| Modern rap subgenres.||10|| Australian winners of golf’s Open championship.||11|| Added to the consumer prices index “basket” in 2022.||12|| Add a letter to make a country: Chad; Finland; Oman; Spain; Iran.||13|| Aurora: in ballet and Disney film; Cruiser in Petrograd, 1917; aurora borealis.||14|| Fictional pathologists: Silent Witness; Inspector Morse; Waking the Dead; Patricia Cornwell books.||15|| Alternative names for vitamins: A; B1; C; D.",https://www.theguardian.com/lifeandstyle/2022/aug/13/who-borrowed-her-book-titles-from-dostoevsky-the-saturday-quiz,1|| Which Italian competition inspired Eurovision?||2|| Who borrowed her book titles from Dostoevsky and Kierkegaard?||3|| Q1 is the tallest building on which continent?||4|| Whose GOM nickname was reversed to MOG?||5|| What distinguishes a halophyte plant?||6|| Aristarchus of Samos was the first to propose which theory?||7|| In which river was a 300kg stingray found in June?||8|| Which two Michael Caine films are named after African peoples?||What links:||9|| Drill; mumble; road; snap; trap?||10|| Smith; Norman (2); Baker-Finch; Nagle; Thomson (5)?||11|| Sports bras; pet collars; meat-free sausages; anti-bacterial wipes?||12|| Had; inland; man; pain; ran?||13|| Sleeping Beauty; signalled October Revolution; northern lights?||14|| Sam Ryan; Grayling Russell; Eve Lockhart; Kay Scarpetta?||15|| Retinol; thiamine; ascorbic acid; calciferol?
