Quastions,Answers
1,1
 Which US president won the Nobel peace prize and the Medal of Honor?, Theodore Roosevelt (Medal of Honor posthumously).
2,2
" What peaked at $68,789 in November 2021?", Bitcoin value.
3,3
 Which fellow dystopian taught George Orwell at Eton?, Aldous Huxley.
4,4
 What is the national fruit of Jamaica?, Ackee.
5,5
 Five-year-old Margaret Theresa is the main figure in which group portrait?, Las Meninas by Velázquez.
6,6
 What is now officially Yr Wyddfa?, (Mount) Snowdon.
7,7
 Which Islay whisky advertised its taste as “burning hospital”?, Laphroaig.
8,8
 Who contested the 1972 World Chess Championship?, Bobby Fischer and Boris Spassky.
What links,9
9, Animals beginning with X: xerus; xolo; x-ray tetra; xeme.
 African ground squirrel; Mexican hairless dog; translucent fish; Sabine’s gull?,10
10, Monarchs who succeeded their brother.
 Henry I; John; James II; William IV; George VI?,11
11, Autobiographical/semi-autobiographical films about directors’ youth: François Truffaut; Federico Fellini; Woody Allen; Joanna Hogg; Steven Spielberg.
 The 400 Blows; Amarcord; Radio Days; The Souvenir; The Fabelmans?,12
12, Wins in the rugby league world cup (men’s).
 Australia (12); Great Britain (3); New Zealand (1)?,13
13, Centres of UK car manufacturing.
 Longbridge; Cowley; Dagenham; Halewood; Luton?,14
14, Items left on the moon.
 Photo; flags; feather; hammer; golf balls; human waste?,15
Quastions,Answers
1,1
 The world’s largest religious monument appears on which national flag?, Cambodia (Angkor Wat).
2,2
 Which competitors step up to the oche?, Darts players.
3,3
 Gian Gastone (d 1737) was the last ruler from which family?, Medici (duke of Tuscany).
4,4
 Which city almost tripled in size with a 1911 Act of Parliament?, Birmingham (Greater Birmingham Act 1911).
5,5
 Japanese chemist Kikunae Ikeda invented which food additive?, Monosodium glutamate.
6,6
 Which band buried their Brit award at Stonehenge?, KLF.
7,7
 What is the densest planet in the solar system?, Earth.
8,8
Quastions,Answers
1,1
 Which Italian competition inspired Eurovision?, Sanremo music festival.
2,2
 Who borrowed her book titles from Dostoevsky and Kierkegaard?, Elif Batuman: The Possessed and The Idiot; Either/Or.
3,3
 Q1 is the tallest building on which continent?, Oceania.
4,4
 Whose GOM nickname was reversed to MOG?, William Gladstone (Grand Old Man to Murderer of Gordon).
5,5
 What distinguishes a halophyte plant?, They grow in salty conditions.
6,6
 Aristarchus of Samos was the first to propose which theory?, Heliocentric model of known universe.
7,7
 In which river was a 300kg stingray found in June?, Mekong (largest freshwater fish ever found).
8,8
 Which two Michael Caine films are named after African peoples?, Zulu and Ashanti.
What links:,9
9, Modern rap subgenres.
 Drill; mumble; road; snap; trap?,10
10, Australian winners of golf’s Open championship.
 Smith; Norman (2); Baker-Finch; Nagle; Thomson (5)?,11
11, Added to the consumer prices index “basket” in 2022.
 Sports bras; pet collars; meat-free sausages; anti-bacterial wipes?,12
12, Add a letter to make a country: Chad; Finland; Oman; Spain; Iran.
 Had; inland; man; pain; ran?,13
13," Aurora: in ballet and Disney film; Cruiser in Petrograd, 1917; aurora borealis."
 Sleeping Beauty; signalled October Revolution; northern lights?,14
14, Fictional pathologists: Silent Witness; Inspector Morse; Waking the Dead; Patricia Cornwell books.
 Sam Ryan; Grayling Russell; Eve Lockhart; Kay Scarpetta?,15
Quastions,Answers
1,1
 What is thought to have originated in marmots from Kyrgyzstan?, Black Death.
2,2
 Which logo features an incomplete jigsaw globe?, Wikipedia.
3,3
 Who is the only writer to win both the Booker Prize and Carnegie Medal?, Penelope Lively.
4,4
 The High Water Mark of the Rebellion Monument is on which battlefield?, Gettysburg.
5,5
 Where did the Reggae Sunsplash festival debut in 1978?, Jamaica (Montego Bay).
6,6
 Which muppets were named after New York hotels?, Statler and Waldorf.
7,7
" Hamlet says “Alas, poor…” about Yorick and what else?", His father’s ghost.
8,8
 Crayford and Romford are London’s last venues for which sport, Greyhound racing.
What links:,9
9, Types of shark.
 Cookiecutter; goblin; megamouth; thresher; wobbegong?,10
10, Gold discovered.
" California, 1848; Victoria, 1851; Witwatersrand, 1886; Yukon, 1896?",11
11, Basic shapes of bacteria.
 Comma; corkscrew; rod; spherical; spiral?,12
12, First century scorers for newest Test cricket nations.
" Aminul Islam, Bangladesh; Kevin O’Brien, Ireland; Rahmat Shah, Afghanistan?",13
13, Greek equivalent to Roman gods/planets: Mercury; Venus; Mars; Jupiter; Saturn; Neptune.
" Hermes, 1; Aphrodite 2; Ares 4; Zeus, 5; Cronus 6; Poseidon 8?",14
14, Green nicknames: sea green incorruptible (Carlyle); Green Goddess TV fitness expert; green eyed monster; green fairy.
 Maximilien Robespierre; Dian Moran; jealousy; absinthe?,15
Quastions,Answers
1,1
 Which woman was made first secretary of state in 1968?, Barbara Castle. 
2,2
 Which country is the world’s biggest oil producer? , US. 
3,3
 What does the Kármán line define? , Boundary between Earth’s atmosphere and outer space. 
4,4
 Vectis was a Roman name for which island? , Isle of Wight. 
5,5
" What line precedes “Drink deep, or taste not the Pierian spring”? ", A little learning is a dangerous thing (Alexander Pope poem). 
6,6
 Which re-enactment society is named after supporters of Charles II? , The Sealed Knot. 
7,7
 Who choreographed Copland’s Appalachian Spring? , Martha Graham. 
8,8
 What are Czech hedgehogs designed to stop? , Tanks. 
What links:,9
 , On covers of Oasis albums: Definitely Maybe; (What’s the Story) Morning Glory?; Be Here Now. 
9,10
" Burt Bacharach; Berwick Street, Soho; Rolls-Royce in a swimming pool? ", Web browsers: Firefox (nickname); Opera; Chrome; Safari. 
10,11
 Red panda; musical drama; alloy of Cr; wildlife-based holiday? , Indian states (all created in 2000). 
11,12
 Uttarakhand; Jharkhand; Chhattisgarh? , Film editing systems. 
12,13
 Moviola; KEM flatbed; Avid; Final Cut Pro? , Battles in 1815. 
13,14
 New Orleans; Ligny; Quatre Bras; Waterloo? , Hamster species. 
14,15
Quastions,Answers
1,1
" Where are 1, 3, 26 and 16 memorialised together?"," Mount Rushmore (left to right: Washington, Jefferson, Teddy Roosevelt, Lincoln)."
2,2
" Which national flag features a cactus, an eagle and a snake?", Mexico.
3,3
 June Spencer was the last original cast member in which drama?," The Archers (retired in 2022, aged 103)."
4,4
 What is written on the letterbox of 10 Downing Street?, First Lord of the Treasury.
5,5
 Which mathematician and occultist coined the term “British empire”?, John Dee.
6,6
 Where is Europe’s only population of wild monkeys?, Gibraltar.
7,7
 Which organisation has won the Nobel peace prize three times?, International Committee of the Red Cross.
8,8
 Which punk band were named after a Paul McCartney alias?, The Ramones (after Paul Ramone).
What links:,9
9, Female wrestlers.
 Judy Grable; Fabulous Moolah; Klondyke Kate; Trish Stratus?,10
10, Minotaur: mother; designed Cretan labyrinth; slain by.
