Customer Id,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
3JUN0VW6F043,34,Private Sector/Self Employed,Yes,1300000,6,0,Yes,No,No
VLHY2ABIR4QL,28,Private Sector/Self Employed,Yes,750000,7,0,Yes,No,No
6E3F7UNXYNFF,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,No
JJ8R0ZRYWR31,32,Government Sector,Yes,800000,6,1,No,No,No
2WGFUEX6IEHM,34,Private Sector/Self Employed,Yes,700000,4,1,No,No,No
V4GZ5HKMGHZ1,28,Government Sector,Yes,300000,6,1,No,No,No
VZRMW8H4O2AX,29,Private Sector/Self Employed,Yes,1100000,4,0,No,No,No
WBJUKIWUMMIU,28,Private Sector/Self Employed,Yes,500000,5,0,No,No,No
W4H1AN0T8WRJ,26,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,Yes
NMDQXNZ6ZP3Y,31,Government Sector,No,400000,3,0,No,No,No
ZL5JDMWUVW62,28,Private Sector/Self Employed,Yes,1250000,5,0,No,Yes,Yes
OWRXLZYD4EB0,33,Government Sector,Yes,700000,7,0,No,No,Yes
ZZHNGEJSFV5F,26,Private Sector/Self Employed,Yes,1250000,3,0,No,No,No
VWEUC6BBUV9X,34,Private Sector/Self Employed,Yes,700000,6,0,No,No,Yes
D9M4QDEJFMDL,30,Private Sector/Self Employed,No,750000,3,1,No,No,Yes
HOJG4E0IMD3U,29,Private Sector/Self Employed,Yes,1350000,7,1,No,Yes,Yes
2MP8G1F88SBY,30,Private Sector/Self Employed,No,1450000,5,0,Yes,Yes,Yes
86X9BUKVNYRV,29,Private Sector/Self Employed,Yes,500000,5,0,No,No,No
PLCJ5QT16I52,28,Private Sector/Self Employed,Yes,800000,5,1,No,No,No
YZ71OU2SWE8J,33,Government Sector,Yes,400000,5,1,No,No,No
FXGCO65Y0NMK,33,Private Sector/Self Employed,Yes,1400000,6,0,Yes,Yes,Yes
YIXALUMCI54L,29,Private Sector/Self Employed,Yes,600000,4,1,No,No,No
D215EOM5SHJN,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,Yes
18W2QSVM81C4,34,Private Sector/Self Employed,Yes,500000,7,1,No,No,Yes
MOL4SK5JPK2P,32,Government Sector,Yes,350000,4,0,No,No,No
LGH5CEBS6OAR,28,Private Sector/Self Employed,Yes,1750000,5,1,No,Yes,No
IMDKLT674I2J,29,Private Sector/Self Employed,Yes,1200000,5,0,No,No,No
L0HBA00A5BE0,28,Government Sector,Yes,300000,8,0,No,No,No
HZQSQHL47OTQ,32,Government Sector,Yes,350000,4,0,No,No,No
LBPU0F66I0O7,33,Government Sector,Yes,400000,6,0,No,No,Yes
PRU4NC5XHVL7,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,No
7X9QYNX7VCGA,25,Private Sector/Self Employed,Yes,1400000,4,1,Yes,Yes,Yes
TRN3559LMRKB,33,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,Yes
